id,module,question,A,B,C,D,E,F,answer,explanation
SET8-Q064,Module 4: Database & Tables,What is a sys_id?,A unique 32-character identifier that is assigned to every record,A client-side Business Rule,A server-side Business Rule,A unique 64-character identifier,, ,A,sys_id is a unique 32-character identifier assigned to each record.
SET8-Q065,Module 4: Database & Tables,When creating a global custom table named abc what is the table name that is automatically assigned by the platform?,abc,u_abc,x_abc,sys_abc,, ,B,Custom tables are prefixed with u_ by default.
SET8-Q066,Module 2: User Administration,Access Control rules may provide access security for which of the following database objects?,For a specific role group or user,For a specific role column or table,For specific groups,For a specific CMDB Configuration Item,, ,B,ACLs control access at the table and field (column) level.
SET8-Q067,Module 4: Database & Tables,What is the primary application used to load data into ServiceNow?,Service Level Management,Configuration,System Import Sets,Task,, ,C,System Import Sets is used to load data.
SET8-Q068,Module 4: Database & Tables,Which of the following steps can be used to import new data into ServiceNow from a spreadsheet?,Select Data Source Schedule Transform,Load Data Create Transform Map Run Transform,Select Import Set Select Transform Map Run Transform,Load Data Create Transform Map Schedule Import,, ,B,The correct flow is Load Data then Transform Map then Run Transform.
SET8-Q069,Module 4: Database & Tables,Which tool is used for creating dependencies between configuration items in the CMDB?,CI Relationship Editor,CMDB Builder,Service Manager,Class Manager,, ,A,The CI Relationship Editor creates dependencies between CIs.
SET8-Q070,Module 3: Configure Applications for Business,What is the difference between a UI Policy and Data Policy?,UI Policies apply only on forms Data Policies apply everywhere,UI Policies run on server Data Policies run on client,UI Policies require scripting Data Policies do not,There is no difference,, ,A,UI Policies apply on forms while Data Policies apply everywhere.
SET9-Q071,Module 8: Update Sets,Which of the following is an example of changes that are captured in an Update Set?,Changes made to data forms schedules and client scripts,Changes made to tables forms Business Rules and data records,Changes made to tables forms scripts and configuration items,Changes made to data tables forms views and fields,, ,D,Update Sets capture configuration changes such as tables forms views and fields but not data records.
SET9-Q072,Module 8: Update Sets,What are the steps to retrieve an Update Set?,Verify Update Set is Complete Retrieve Preview Apply,Verify Update Set is Complete Test Commit Apply,Verify Update Set is Complete Preview Commit,Verify Update Set is Complete Retrieve Preview Commit,, ,D,The correct process is Complete then Retrieve then Preview then Commit.
SET9-Q073,Module 3: Configure Applications for Business,Integrations enable execution of third-party APIs as part of a flow These integrations are referred to as?,An action,A spoke,A connector,An integration step,, ,B,IntegrationHub integrations are grouped into spokes.
SET9-Q074,Module 3: Configure Applications for Business,Which of the following protects application data by identifying and restricting access to table files and data?,Application Configuration,Session Log,Access Control Rules,Application Scope,, ,D,Application scope protects data and files from unauthorized access.
SET9-Q075,Module 2: User Administration,Which one statement correctly describes Access Control evaluation?,Table ACL is evaluated before field ACL,Field ACL is evaluated before table ACL,ACLs are evaluated only at the record level,ACLs are evaluated only when roles are present,, ,A,Table ACLs are evaluated before field ACLs.
SET9-Q076,Module 6: Reports & Notifications,ServiceNow contains a resource which provides the following: a standard shared set of service-related data and structure that will enable and support service-level reporting What is this resource?,Common Service Data Model (CSDM),Information Technology Service Management (ITSM),Configuration Management Database (CMDB),Information Technology Infrastructure Library (ITIL),, ,A,CSDM provides a standard model for service-related data and reporting.
SET9-Q077,Module 7: Service Catalog,As a Service Catalog Admin what two tasks are you able to perform? (Choose two),Create Catalog Items and Order Guides,Approve requests submitted by users,Assign fulfillment tasks to groups,Manage Service Catalog workflows,, ,AC,Catalog Admins can create catalog items and order guides.
SET9-Q078,Module 3: Configure Applications for Business,Which feature is used to define access to a role-based shared feature such as Viewers?,Activate application logic rules,Activate trigger security rules,Activate application scope and plugin access,Activate application plugin and privileges,, ,C,Application scope and plugin access define access to shared features.
SET9-Q079,Module 3: Configure Applications for Business,The Service Catalog includes which types of interfaces? (Choose three),Role Mobile Apps,Agent Client Interface,Service Portal,Mobile Platform,Web Interface,, ,CDE,Service Catalog is accessed via Service Portal web interface and mobile experiences.
SET9-Q080,Module 8: Update Sets,Which of the following are not included in an Update Set by default? (Choose two),Homepage records,Data records,Published Workflows,Client Scripts,, ,AB,Data records and homepage records are not captured by default.
SET10-Q081,Module 3: Configure Applications for Business,You are showing your customer a new form that you have created for their application They would like to add a field to the form What would you do?,Select Fields and Columns module,Right click on the form and select Configure > Form Layout,Click on context menu select Configure > Form Designer,Select Field Class Manager module,, ,C,Form Designer is used to add fields to a form.
SET10-Q082,Module 4: Database & Tables,Which ServiceNow module is recommended to load your ServiceNow application requires into the appropriate CMDB tables?,Common Service Data Model (CSDM),Service Mapping Utility,ServiceNow Map (SMU),CMDB Manager (CMDB),, ,A,CSDM is used to structure CMDB data correctly.
SET10-Q083,Module 1: Platform Overview,How do you activate when you want to add applications or functionality within your developer instance?,App Package,Update Pack,Plugin,Exported Set,, ,C,Plugins are used to add functionality to an instance.
SET10-Q084,Module 4: Database & Tables,What field contains a unique 32 character unique identifier?,sys_id,sys_updated_on,sys_created_on,sys_user_id,, ,A,sys_id uniquely identifies each record.
SET10-Q085,Module 6: Reports & Notifications,Your company is giving all first line users a special Task List to track work Management wants a way for employees to order the task list with the ability to quickly personalize the order How can users reorder tasks?,Create Record Producer and add new Task Table,Create Catalog Item and use the Available For list to specify ITIL role,Create Order Guide and use Available For to specify ITIL role,Create UI Action to reorder tasks on the list,, ,D,A UI Action can be used to customize task ordering.
SET10-Q086,Module 8: Update Sets,What is used frequently to move customizations from one instance to another?,Update Sets,Code Sets,Update Packs,Connection Logs,, ,A,Update Sets are used to move configuration changes.
SET10-Q087,Module 1: Platform Overview,What icon do you use to change the label in a Favorite?,Clock,Hamburger,Pencil,Three dots,, ,C,The pencil icon edits favorite labels.
SET10-Q088,Module 3: Configure Applications for Business,What needs to be specified when creating a Business Rule? (Choose two),UI Action,Table to update,When to run,Who can run,Application scope,Condition to evaluate,CF,Business Rules require when to run and condition logic.
SET10-Q089,Module 6: Reports & Notifications,What feature can track the amount of time that a task has been open to ensure it has been completed within an allotted time?,Task Escalation Clock,Service Level Agreement,Inactivity Monitor,Response Time Clock,, ,B,SLAs track time targets for task completion.
SET10-Q090,Module 6: Reports & Notifications,What is a metric used for?,Process automation,Report data aggregation,Measuring process effectiveness,Notification triggering,, ,C,Metrics measure the effectiveness of ITSM processes.
SET11-Q091,Module 4: Database & Tables,What import utility do you use when the field names on the import set match the field names on the target table?,Schema Mapping,Automatic Mapping,Mapping Assist,Mapping Extended,, ,B,Automatic Mapping is used when field names match.
SET11-Q092,Module 2: User Administration,As an IT employee what module would you use if you want to browse internal IT documentation troubleshooting scripts and FAQs?,Knowledge,ServiceNow Wiki,SharePoint,Stack Overflow,, ,A,The Knowledge module stores internal documentation and FAQs.
SET11-Q093,Module 7: Service Catalog,A new Service Desk employee in Latin America complains that the create date and times are incorrect on their incident list What would you suggest to fix this?,Reset locale on the record,Have them log out and back in,Recommend they change their time zone,Update system properties to different time zone,, ,C,Users should set their personal time zone.
SET11-Q094,Module 2: User Administration,What are three security modules under the System Administrator? (Choose three),System Properties > Security,Utilities > Security,System Security > Access,Password Management > Security Questions,System Security > High Security Settings,ACD,System security modules include Access High Security and Password settings.
SET11-Q095,Module 2: User Administration,As a Service Desk lead having a manager approval flow which of these best practices would you follow? (Choose three),Make sure the latest form is available,Use the instance request string to quickly identify requester and approver,Implement the approver to ensure data is not editable by requester,Have the requester remove the approval if needed,Choose an approval policy that supports auto approval,ACD,Best practices include proper approver handling and data protection.
SET11-Q096,Module 3: Configure Applications for Business,What is a no-code approach to control mandatory or read-only state of a form field?,UI Action,Client Script,UI Policy,Update Set,, ,C,UI Policies control mandatory and read-only behavior without scripting.
SET11-Q097,Module 8: Update Sets,When moving multiple update sets at one time what might you do to facilitate the move?,Batch the update sets,Verify each update set,Test,Preview,, ,A,Batching update sets simplifies migration.
SET11-Q098,Module 2: User Administration,What is specified in an Access Control rule?,Groups Conditional Expressions and Workflows,Tables Columns Roles and Authorization,Object and Operation being secured and access conditions,Security admin only,, ,C,ACLs define object operation and access conditions.
SET11-Q099,Module 1: Platform Overview,Which icon shown below identifies an application in the Application Navigator?,Star,Clock,Application icon,Funnel,, ,C,Applications are identified by their application icon.
SET11-Q100,Module 4: Database & Tables,What do you call any component that needs to be managed in order to deliver service?,A CI,CMDB,Configuration Item,Service Offering,, ,C,A Configuration Item (CI) is any component managed to deliver a service.
SET12-Q101,Module 4: Database & Tables,A Service Catalog item is being developed but should only be visible to managers listed in the HR Report What method would you use to limit its visibility?,Specify the Role,Restrict with User Criteria,Add a Client Script,Restrict using ACLs,, ,B,User Criteria is used to control catalog item visibility.
SET12-Q102,Module 4: Database & Tables,A customer reports an issue with a Business Rule that runs only when conditions are met Which type of record can be used to track the execution of the rule?,Business Rule Log,Transaction Log,System Log,Script Debugger,, ,C,Execution details are captured in System Logs.
SET12-Q103,Module 2: User Administration,Access Control rules are applied in logical order Which rule is applied first when table and field ACLs exist?,Table ACL,Field ACL,Row ACL,Role ACL,, ,A,Table ACLs are evaluated before field ACLs.
SET12-Q104,Module 4: Database & Tables,To reference a table field in a script which syntax is used?,current.table.field,current.field,current.getValue(),current.field.getValue(),, ,B,current.field syntax is used in server-side scripts.
SET12-Q105,Module 4: Database & Tables,You need to identify a record in another table Which field type should be used?,String,Integer,Reference,Choice,, ,C,Reference fields point to records in another table.
SET12-Q106,Module 6: Reports & Notifications,Which ServiceNow feature provides trend analysis and historical data?,Reports,Dashboards,Performance Analytics,Event Management,, ,C,Performance Analytics provides trend and historical analysis.
SET12-Q107,Module 3: Configure Applications for Business,Which element is used to enforce mandatory or read-only behavior without scripting?,Client Script,UI Action,UI Policy,Business Rule,, ,C,UI Policies enforce form behavior without scripting.
SET12-Q108,Module 8: Update Sets,When moving Update Sets between instances what should be done first?,Commit the Update Set,Preview the Update Set,Mark the Update Set Complete,Export the Update Set,, ,C,An Update Set must be Complete before retrieval.
SET12-Q109,Module 3: Configure Applications for Business,Which feature allows administrators to design automation without scripting?,Business Rules,Flow Designer,Client Scripts,UI Policies,, ,B,Flow Designer enables no-code automation.
SET12-Q110,Module 4: Database & Tables,What is a CI in ServiceNow?,A Change Item,A Configuration Item,A Catalog Item,A CMDB record,, ,B,A Configuration Item is any component managed to deliver a service.
SET13-Q111,Module 3: Configure Applications for Business,What would you do if you wanted to show or hide form sections in a form layout?,Add a Client Script,Use Form Designer,Create a UI Policy,Configure Business Rule,, ,C,UI Policies are used to show or hide form sections and fields.
SET13-Q112,Module 6: Reports & Notifications,Which reference can be used to view items being added to the table cache?,Sys Properties,System Log,Event Log,Table Cache,, ,B,System Logs show cache-related activity.
SET13-Q113,Module 5: Knowledge Management,What is the knowledge base used for?,For Configuration Items,For CMDB data,For storing and sharing knowledge articles,For workflow execution,, ,C,Knowledge bases store and share knowledge articles.
SET13-Q114,Module 3: Configure Applications for Business,Which feature allows you to apply multiple sets of conditions at one time?,Filter Conditions,Query Builder,Encoded Query,Condition Builder,, ,C,Encoded queries allow multiple conditions in one string.
SET13-Q115,Module 3: Configure Applications for Business,Which of the following is used to open multiple records at once?,List v3,Form View,Mass Update,List View,, ,D,List views allow working with multiple records.
SET13-Q116,Module 3: Configure Applications for Business,Which component allows you to control what data users can enter into a form?,Client Script,UI Policy,ACL,Business Rule,, ,B,UI Policies control form field behavior.
SET13-Q117,Module 3: Configure Applications for Business,What module allows administrators to create related lists?,Form Designer,Related Lists,Tables & Columns,Schema Map,, ,A,Form Designer is used to add related lists.
SET13-Q118,Module 6: Reports & Notifications,What module is used to schedule reports?,System Scheduler,Reports,Email Notifications,Flow Designer,, ,B,Reports can be scheduled from the Reports module.
SET13-Q119,Module 6: Reports & Notifications,Which term describes a record created when an event occurs?,Notification,Log entry,Alert,Event,, ,D,An Event record is created when an event occurs.
SET13-Q120,Module 4: Database & Tables,Which module can be used to display records related to a record?,Schema Map,Related Lists,Dependency View,Reference View,, ,B,Related Lists display records related to the current record.
SET14-Q121,Module 3: Configure Applications for Business,Which configuration option would you use to restrict which users can see a form section?,Client Script,UI Policy,ACL,Form Layout,, ,B,UI Policies can show or hide form sections based on conditions.
SET14-Q122,Module 3: Configure Applications for Business,What module allows administrators to define how lists are displayed for users?,List Layout,Form Designer,Tables & Columns,Schema Map,, ,A,List Layout controls which columns appear in lists.
SET14-Q123,Module 4: Database & Tables,Which field type should be used when you need to reference data from another table?,String,Integer,Reference,Choice,, ,C,Reference fields point to records in another table.
SET14-Q124,Module 2: User Administration,Which feature allows an administrator to test what another user can see?,Role Assignment,Impersonation,Elevate Roles,User Criteria,, ,B,Impersonation allows testing user access and visibility.
SET14-Q125,Module 6: Reports & Notifications,Which feature allows you to track how long a task has been open?,Task Timer,Response SLA,Service Level Agreement,Inactivity Monitor,, ,C,SLAs track elapsed time and targets for task completion.
SET14-Q126,Module 3: Configure Applications for Business,Which tool allows you to add buttons links and context menu items to forms?,UI Action,Client Script,UI Policy,Business Rule,, ,A,UI Actions create buttons links and context menu options.
SET14-Q127,Module 7: Service Catalog,Which component defines the questions asked when a user orders a catalog item?,Catalog Item,Variables,Order Guide,Workflow,, ,B,Variables define the questions presented to users.
SET14-Q128,Module 4: Database & Tables,Which module visually displays relationships between tables?,Schema Map,Database Views,Tables & Columns,Dependency View,, ,A,Schema Maps show table relationships visually.
SET14-Q129,Module 6: Reports & Notifications,Which report type is best suited to display a single KPI value?,List,Bar,Pie,Single Score,, ,D,Single Score reports display a single KPI.
SET14-Q130,Module 1: Platform Overview,Which interface is primarily used by end users to request services?,Agent Workspace,Now Platform UI,Service Portal,Studio,, ,C,The Service Portal is designed for end users.
SET15-Q131,Module 3: Configure Applications for Business,When designing a form how can you reference data from another table?,Using a Client Script,Using a Business Rule,Using a Reference field,Using a UI Policy,, ,C,Reference fields allow selecting and displaying data from another table.
SET15-Q132,Module 3: Configure Applications for Business,Which type of field allows you to select multiple values from a predefined list?,Choice,Reference,Glide List,Boolean,, ,C,Glide Lists allow selecting multiple values.
SET15-Q133,Module 4: Database & Tables,Which tool is used to create relationships between configuration items?,Schema Map,CI Relationship Editor,Class Manager,Dependency View,, ,B,CI Relationship Editor creates relationships between CIs.
SET15-Q134,Module 6: Reports & Notifications,Which ServiceNow capability provides information about system performance and usage trends?,Dashboards,Reports,Performance Analytics,Event Management,, ,C,Performance Analytics provides historical trends and performance data.
SET15-Q135,Module 2: User Administration,Which feature allows you to temporarily gain additional roles?,Role Assignment,Impersonation,Elevate Roles,User Criteria,, ,C,Elevate Roles allows users to temporarily gain additional privileges.
SET15-Q136,Module 3: Configure Applications for Business,Which element is used to display related records on a form?,Schema Map,Related List,Reference Field,Formatter,, ,B,Related Lists display records related to the current record.
SET15-Q137,Module 4: Database & Tables,What is the purpose of an Import Set table?,Store update set data,Stage imported records,Define table relationships,Store transform scripts,, ,B,Import Set tables temporarily stage imported data.
