id,module,question,A,B,C,D,E,F,answer,explanation
DOC-M7-Q02,Module 7: Service Catalog,What is the purpose of an Order Guide?,Submit incidents,Bundle related catalog items,Create workflows,Assign tasks automatically,, ,B,Order Guides allow multiple related items in one request.
DOC-M7-Q03,Module 7: Service Catalog,Which feature creates task-based records from the Service Catalog?,Catalog Item,Record Producer,Order Guide,Flow Designer,, ,B,Record Producers create task-based records.

DOC-M8-Q01,Module 8: Update Sets,What is the correct order for applying an Update Set?,Preview Commit Retrieve,Retrieve Preview Commit,Commit Preview Retrieve,Retrieve Commit Preview,, ,B,Update Sets must be retrieved then previewed then committed.
DOC-M8-Q02,Module 8: Update Sets,Which record type should generally not be moved via Update Sets?,Business Rules,Client Scripts,Users and Groups,UI Policies,, ,C,Users and groups are instance-specific.
DOC-M1-Q04,Module 1: Platform Overview,What is the primary purpose of an instance?,Data backup,Customer-specific environment,Shared reporting,Plugin storage,, ,B,Each customer receives its own isolated instance.
DOC-M1-Q05,Module 1: Platform Overview,Which environment is typically used for development and testing?,Production,Sub-production,Disaster Recovery,Live instance,, ,B,Development and testing occur in sub-production instances.
DOC-M1-Q06,Module 1: Platform Overview,What does HI stand for in ServiceNow?,Hosted Instance,Help Interactive,High Incident,Hybrid Interface,, ,B,HI refers to Help Interactive formerly the HI portal.
DOC-M1-Q07,Module 1: Platform Overview,Which interface is designed mainly for end users?,Agent Workspace,Now Platform UI,Service Portal,Studio,, ,C,Service Portal is designed for end users.
DOC-M1-Q08,Module 1: Platform Overview,Which ServiceNow feature shows recently accessed records?,Favorites,History,Bookmarks,Tags,, ,B,The History tab shows recently accessed records.
DOC-M1-Q09,Module 1: Platform Overview,Which navigation element contains applications and modules?,Banner Frame,Application Navigator,Content Frame,User Menu,, ,B,Applications and modules are accessed from the Application Navigator.
DOC-M1-Q10,Module 1: Platform Overview,What allows users to quickly return to the home page?,Star icon,Gear icon,Logo,Filter,, ,C,Clicking the logo returns users to Home.

DOC-M2-Q05,Module 2: User Administration,What happens when a user is added to a group with roles?,Roles must be approved,Roles are inherited automatically,Roles are ignored,Roles apply only after logout,, ,B,Users inherit roles from groups automatically.
DOC-M2-Q06,Module 2: User Administration,Which table stores user records?,sys_user,user,sys_users,user_account,, ,A,User records are stored in the sys_user table.
DOC-M2-Q07,Module 2: User Administration,Which role allows access to most platform features?,security_admin,itil,admin,approver_user,, ,C,The admin role provides broad platform access.
DOC-M2-Q08,Module 2: User Administration,What is the recommended way to assign roles?,Directly to users,Via business rules,Via groups,Via UI policies,, ,C,Best practice is assigning roles to groups.
DOC-M2-Q09,Module 2: User Administration,Which role is required to create Access Control rules?,admin,itil,security_admin,acl_admin,, ,C,ACL creation requires the security_admin role.
DOC-M2-Q10,Module 2: User Administration,Which feature shows who is currently online?,User Status,Profile Monitor,User Presence,Live Feed,, ,C,User Presence indicates online users.

DOC-M3-Q04,Module 3: Configure Applications for Business,What does Form Designer primarily control?,Table relationships,Form layout and fields,ACLs,Data policies,, ,B,Form Designer controls layout and fields.
DOC-M3-Q05,Module 3: Configure Applications for Business,Which tool controls mandatory read-only or hidden fields without scripting?,Client Script,UI Policy,Data Policy,ACL,, ,B,UI Policies control field behavior on forms.
DOC-M3-Q06,Module 3: Configure Applications for Business,What is the purpose of templates?,Automate workflows,Populate commonly used fields,Assign records,Send notifications,, ,B,Templates populate commonly used values.
DOC-M3-Q07,Module 3: Configure Applications for Business,Which feature allows users to save list filters?,Favorites,Breadcrumbs,Tags,Views,, ,A,Filters can be saved as favorites.
DOC-M3-Q08,Module 3: Configure Applications for Business,What does dot-walking allow?,Script execution,Access related table fields,ACL enforcement,Workflow execution,, ,B,Dot-walking accesses related table fields.
DOC-M3-Q09,Module 3: Configure Applications for Business,Which list menu provides export options?,Column context menu,List title menu,Record context menu,Field menu,, ,B,List title menu contains export options.
DOC-M3-Q10,Module 3: Configure Applications for Business,Which role allows list personalization?,admin,itil,personalize_list,configure_list,, ,C,personalize_list allows user-specific list changes.

DOC-M4-Q04,Module 4: Database & Tables,What type of database does ServiceNow use?,NoSQL,Object-oriented,Relational,Flat file,, ,C,ServiceNow uses a relational database.
DOC-M4-Q05,Module 4: Database & Tables,What happens when a table extends another table?,Parent inherits child fields,Child inherits parent fields,Tables merge,Fields are duplicated,, ,B,Child tables inherit parent fields.
DOC-M4-Q06,Module 4: Database & Tables,Which table contains dictionary definitions?,sys_dictionary,sys_db_object,sys_metadata,sys_table,, ,A,sys_dictionary stores field and table definitions.
DOC-M4-Q07,Module 4: Database & Tables,Which field type stores a reference to another table?,String,Choice,Reference,Integer,, ,C,Reference fields store links to other tables.
DOC-M4-Q08,Module 4: Database & Tables,What does a schema map display?,Forms and views,Table relationships,Workflows,ACLs,, ,B,Schema maps show table relationships.
DOC-M4-Q09,Module 4: Database & Tables,Which operation writes import data to the target table?,Load Data,Run Transform,Create Map,Schedule Import,, ,B,Data is written during Run Transform.
DOC-M4-Q10,Module 4: Database & Tables,Which key table is the base for task-related records?,incident,problem,task,request,, ,C,The task table is the base for task records.

DOC-M5-Q04,Module 5: Knowledge Management,What determines who can read a knowledge article?,UI Policy,Roles or User Criteria,Workflow,Client Script,, ,B,Access is controlled by roles or user criteria.
DOC-M5-Q05,Module 5: Knowledge Management,Which state makes a knowledge article visible?,Draft,Review,Published,Retired,, ,C,Only published articles are visible.
DOC-M5-Q06,Module 5: Knowledge Management,What editor supports rich formatting and templates?,HTML Editor,Wiki Editor,Knowledge Editor,JavaScript Editor,, ,B,Wiki editor supports rich content.
DOC-M5-Q07,Module 5: Knowledge Management,What feature lets users suggest article improvements?,Comments,Flagging,Editing,Approval,, ,B,Users can flag articles.
DOC-M5-Q08,Module 5: Knowledge Management,What is the best way to share a knowledge article?,Screenshot,Email text,Permalink,Export PDF,, ,C,Permalinks provide consistent access.
DOC-M5-Q09,Module 5: Knowledge Management,Which role manages multiple knowledge bases?,kb_admin,sn_kb_admin,knowledge_user,admin,, ,B,sn_kb_admin manages knowledge bases.
DOC-M5-Q10,Module 5: Knowledge Management,Which feature tracks article usefulness?,View count,Star rating,Helpfulness score,Workflow,, ,C,Helpfulness score tracks usefulness.

DOC-M6-Q04,Module 6: Reports & Notifications,Which report type shows a single metric value?,List,Pie,Single Score,Trend,, ,C,Single Score shows one KPI.
DOC-M6-Q05,Module 6: Reports & Notifications,Which module is used to create reports?,Dashboards,Reports,Performance Analytics,Studio,, ,B,Reports are created in the Reports module.
DOC-M6-Q06,Module 6: Reports & Notifications,What triggers notifications?,System events,UI policies,ACLs,Dot-walking,, ,A,Notifications are triggered by system events.
DOC-M6-Q07,Module 6: Reports & Notifications,Which tab defines notification recipients?,What it will contain,Who will receive,When to send,Which template,, ,B,Recipients are defined in Who will receive.
DOC-M6-Q08,Module 6: Reports & Notifications,Where are outbound emails logged?,System Logs > Emails,System Mailboxes > Outbox,Notifications,Email Properties,, ,B,Outbound emails appear in Outbox.
DOC-M6-Q09,Module 6: Reports & Notifications,Which report sharing option emails results automatically?,Export,Publish,Schedule,Clone,, ,C,Scheduling emails report results.
DOC-M7-Q04,Module 7: Service Catalog,What record groups multiple RITMs?,Catalog Item,Order Guide,REQ,SCTASK,, ,C,REQ groups multiple RITMs.
DOC-M7-Q05,Module 7: Service Catalog,What fulfills catalog requests?,Flows,Business Rules,Client Scripts,ACLs,, ,A,Flows manage catalog fulfillment.
DOC-M7-Q06,Module 7: Service Catalog,Which variable type allows selecting one option?,Checkbox,Reference,Multiple Choice,String,, ,C,Multiple Choice allows one selection.
DOC-M7-Q07,Module 7: Service Catalog,What feature restricts catalog item visibility?,ACLs,User Criteria,UI Policies,Roles,, ,B,User Criteria controls visibility.
DOC-M7-Q08,Module 7: Service Catalog,Which role manages catalog items without scripting?,catalog_admin,admin,catalog_editor,itil,, ,A,catalog_admin manages catalog configuration.
DOC-M7-Q09,Module 7: Service Catalog,What creates task-based records from catalog?,Order Guide,Catalog Item,Record Producer,Variable Set,, ,C,Record Producers create task-based records.
DOC-M7-Q10,Module 7: Service Catalog,What organizes items logically in the catalog?,Categories,Variables,Flows,Approvals,, ,A,Categories organize catalog items.

DOC-M8-Q04,Module 8: Update Sets,What is the default state of a new Update Set?,Complete,In Progress,Preview,Committed,, ,B,Update Sets start In Progress.
DOC-M8-Q05,Module 8: Update Sets,Which table stores Update Set records?,sys_update_xml,sys_update_set,sys_metadata,sys_db_object,, ,B,sys_update_set stores Update Sets.
DOC-M8-Q06,Module 8: Update Sets,What should be done before committing an Update Set?,Preview,Close,Delete,Export,, ,A,Preview identifies conflicts.
DOC-M8-Q07,Module 8: Update Sets,What is NOT captured in Update Sets by default?,Business Rules,Client Scripts,Data records,Forms,, ,C,Data records are not captured.
DOC-M8-Q08,Module 8: Update Sets,Which format is used to export Update Sets?,CSV,JSON,XML,TXT,, ,C,Update Sets export as XML.
DOC-M8-Q09,Module 8: Update Sets,What is best practice for Default Update Set?,Use for testing only,Merge before moving,Avoid using it,Export regularly,, ,C,Default Update Set should not be used for migrations.
DOC-M8-Q10,Module 8: Update Sets,Where do retrieved Update Sets appear?,Local Update Sets,Retrieved Update Sets,Update Sources,System Logs,, ,B,Imported Update Sets appear in Retrieved Update Sets.

PDF-M7-Q001,Module 7: Service Catalog,A Service Catalog may include which of the following components?,Order Guides Exchange Rates Calendars,Order Guides Catalog Items and Interceptors,Catalog Items Asset Contracts Task Surveys,Record Producers Order Guides and Catalog Items,, ,D,Service Catalog includes record producers order guides and catalog items.
PDF-M4-Q002,Module 4: Database & Tables,Which statement applies to fields when they are coalesced during an import?,If a match is found the existing record is updated,If no match is found no transform map is created,If a match is found a new record is created,If no match is found the existing record is updated,, ,A,Coalesce fields update existing records when a match is found.
PDF-M6-Q003,Module 6: Reports & Notifications,What best describes what a metric can do?,A report gauge on homepages,A time measurement for workflows and SLAs,Measure effectiveness of ITSM processes,A comparative flow measurement,, ,C,Metrics measure and evaluate IT service management effectiveness.
PDF-M7-Q004,Module 7: Service Catalog,Which field controls display sequence in a catalog item?,Default Value,Sequence,Order field on Variable,Choice field,, ,C,Variable Order field controls display sequence.
